t,pid,name,ok,drop,maxQ,avgQ,jain,masked,cand,rLocal
1,0,global_dijkstra,18,0,3,0.125,0.751201923076923,0,1728,0.86062258667825
2,0,global_dijkstra,17,0,3,0.541666666666667,0.54773291274478,0,1632,0.848725254168075
3,0,global_dijkstra,18,0,3,0.333333333333333,0.591210250802424,0,1728,1.0294304712881
4,0,global_dijkstra,18,0,3,0.291666666666667,0.540174624327075,0,1728,1.09877035425822
5,0,global_dijkstra,16,0,6,0.291666666666667,0.488463011442677,0,1536,1.23843980108762
6,0,global_dijkstra,16,0,6,0.291666666666667,0.557078989086206,0,1536,0.980849144625969
7,0,global_dijkstra,15,0,6,0.291666666666667,0.521595408256169,0,1440,1.0720589434699
8,0,global_dijkstra,17,0,9,0.375,0.457013317532324,0,1632,1.08486101152851
9,0,global_dijkstra,18,0,11,0.541666666666667,0.457582820831123,0,1728,1.13064779613712
10,0,global_dijkstra,17,0,14,0.583333333333333,0.433615377570385,0,1632,1.05791934954095
11,0,global_dijkstra,16,0,16,0.791666666666667,0.384270537907664,0,1536,1.41872072437683
12,0,global_dijkstra,18,0,19,0.875,0.388038651230218,0,1692,1.14938127159998
13,0,global_dijkstra,18,0,18,0.875,0.485041914678167,0,1656,0.929730005527655
14,0,global_dijkstra,17,0,16,0.958333333333333,0.533454082242082,0,1530,0.825371456129407
15,0,global_dijkstra,18,0,15,0.958333333333333,0.49864381424119,0,1584,1.08543447640024
16,0,global_dijkstra,17,0,12,0.708333333333333,0.519272261330614,0,1462,1.28290470293737
17,0,global_dijkstra,18,0,9,0.916666666666667,0.487891162237101,0,1512,0.922522343193167
18,0,global_dijkstra,17,0,10,0.958333333333333,0.483933088881271,0,1428,0.745214750857688
19,0,global_dijkstra,17,0,13,0.958333333333333,0.47767852220856,0,1462,0.945130615384312
20,0,global_dijkstra,17,0,10,0.875,0.474144009325188,0,1496,1.18060153899017
21,0,global_dijkstra,16,0,10,0.708333333333333,0.449485237828312,0,1440,1.23261402266657
22,0,global_dijkstra,18,0,8,0.916666666666667,0.439448158467738,0,1656,0.961584462618497
23,0,global_dijkstra,18,0,8,1.04166666666667,0.471107520344662,0,1692,1.01131828028226
24,0,global_dijkstra,18,0,10,1.04166666666667,0.427538619788198,0,1728,0.943841994942197
25,0,global_dijkstra,17,0,13,1.04166666666667,0.392025130846733,0,1632,1.07217588331503
26,0,global_dijkstra,18,0,17,1.08333333333333,0.406824846651883,0,1728,0.977026827487495
27,0,global_dijkstra,16,0,20,1.08333333333333,0.383726620896595,0,1536,1.19424476918273
28,0,global_dijkstra,17,0,21,1.08333333333333,0.392399295433967,0,1632,1.14399811883427
29,0,global_dijkstra,16,0,23,1.20833333333333,0.386006435080545,0,1536,1.12548601458129
30,0,global_dijkstra,16,0,25,1.25,0.413272892176006,0,1536,1.12204504108889
31,0,global_dijkstra,18,0,27,1.375,0.484761031603136,0,1728,0.629186750891284
32,0,global_dijkstra,15,0,31,1.70833333333333,0.337848351861851,0,1440,0.816645450137587
33,0,global_dijkstra,18,0,30,1.625,0.423680951590584,0,1728,1.04271704281784
34,0,global_dijkstra,17,0,28,1.58333333333333,0.390507124926875,0,1632,1.12904847119271
35,0,global_dijkstra,18,0,27,1.58333333333333,0.46143061470605,0,1728,0.707649041743537
1,1,local_delay_noloop,18,0,5,0.25,0.579240037071362,32,200,0.849130494571968
2,1,local_delay_noloop,17,0,7,0.416666666666667,0.57283851306406,36,212,0.880540923252769
3,1,local_delay_noloop,18,0,6,0.375,0.58126319591263,29,188,1.00379140646991
4,1,local_delay_noloop,18,0,10,0.583333333333333,0.531883279844134,29,188,1.0854818228203
5,1,local_delay_noloop,16,0,14,0.666666666666667,0.470989412984694,23,156,1.18456355113402
6,1,local_delay_noloop,16,0,19,0.916666666666667,0.39848357191111,27,172,0.913443429980848
7,1,local_delay_noloop,15,0,20,0.916666666666667,0.441806378507582,26,164,1.06272594166454
8,1,local_delay_noloop,17,0,24,1.25,0.343895764425868,26,172,1.01410054699374
9,1,local_delay_noloop,18,0,25,1.33333333333333,0.395241880198436,27,180,1.09529751596424
10,1,local_delay_noloop,17,0,26,1.29166666666667,0.399350908014439,24,164,1.02137804492598
11,1,local_delay_noloop,16,0,26,1.16666666666667,0.421366465310793,21,148,1.40356723098804
12,1,local_delay_noloop,18,0,26,1.20833333333333,0.453865150504285,25,169,1.17395763412849
13,1,local_delay_noloop,18,0,25,1.375,0.427107505727254,30,189,0.934300394797107
14,1,local_delay_noloop,17,0,29,1.70833333333333,0.419070549639949,33,185,0.708802570211712
15,1,local_delay_noloop,18,0,26,1.83333333333333,0.436716931130112,30,174,1.08137994001957
16,1,local_delay_noloop,17,0,27,1.91666666666667,0.489213107135461,32,173,1.15288887022859
17,1,local_delay_noloop,18,0,28,2.33333333333333,0.514731877605953,66,262,0.661493253699999
18,1,local_delay_noloop,17,0,28,2.58333333333333,0.51408467280059,52,220,0.584834320144148
19,1,local_delay_noloop,17,0,32,2.83333333333333,0.461573214635137,36,189,0.756786280143059
20,1,local_delay_noloop,17,0,32,2.875,0.43622004085198,24,137,1.01993759009029
21,1,local_delay_noloop,16,0,33,2.875,0.490984494189474,32,169,1.04953807486329
22,1,local_delay_noloop,18,0,36,3.08333333333333,0.46808518654844,33,198,0.800267027480488
23,1,local_delay_noloop,18,0,39,3.20833333333333,0.505940402929879,36,215,0.834279012472547
24,1,local_delay_noloop,18,0,39,3.33333333333333,0.475732880158482,30,192,0.846779002392013
25,1,local_delay_noloop,17,0,40,3.20833333333333,0.495007916857922,28,180,1.02632800038881
26,1,local_delay_noloop,16,2,42,3.16666666666667,0.500682997951093,30,192,0.865174024702847
27,1,local_delay_noloop,13,3,42,3,0.508745063300908,21,148,1.0169238202836
28,1,local_delay_noloop,14,3,42,2.875,0.448304741643674,23,160,0.981672083170166
29,1,local_delay_noloop,16,0,42,2.83333333333333,0.48954852820953,23,156,1.07111133859502
30,1,local_delay_noloop,16,0,42,2.875,0.448167386291326,22,152,1.07468870134261
31,1,local_delay_noloop,17,1,42,3,0.523928398816928,39,228,0.557598072724148
32,1,local_delay_noloop,15,0,40,3.04166666666667,0.481771892914727,29,176,0.845960747521177
33,1,local_delay_noloop,18,0,41,3.29166666666667,0.44405901184796,30,192,0.86266174229706
34,1,local_delay_noloop,15,2,42,3.20833333333333,0.453373721996412,21,152,0.935369128253572
35,1,local_delay_noloop,16,2,42,3.375,0.394920596216237,32,200,0.465822279481382
1,2,local_q_life_noloop,18,0,5,0.333333333333333,0.684574684574685,55,232,0.768584113007447
2,2,local_q_life_noloop,17,0,4,0.416666666666667,0.733638586565662,55,236,0.819010173507829
3,2,local_q_life_noloop,18,0,3,0.333333333333333,0.685881473377426,44,204,0.951873316009699
4,2,local_q_life_noloop,18,0,5,0.5,0.623145981765375,43,196,1.0634841210535
5,2,local_q_life_noloop,16,0,7,0.583333333333333,0.560011052555353,29,156,1.21083112180522
6,2,local_q_life_noloop,16,0,9,0.75,0.495848091190908,34,172,0.959592367031025
7,2,local_q_life_noloop,15,0,8,0.708333333333333,0.553903195374357,40,180,1.03963222660955
8,2,local_q_life_noloop,17,0,9,0.916666666666667,0.488123084891764,34,180,1.03754016495212
9,2,local_q_life_noloop,18,0,9,0.958333333333333,0.522870430231142,43,196,1.07126307875347
10,2,local_q_life_noloop,17,0,9,0.833333333333333,0.537024225787503,33,164,1.06116489845525
11,2,local_q_life_noloop,16,0,8,0.708333333333333,0.572032848938993,35,164,1.41786284241443
12,2,local_q_life_noloop,18,0,9,0.791666666666667,0.585619367940134,51,208,1.12418175624952
13,2,local_q_life_noloop,18,0,10,0.916666666666667,0.596575360741585,38,188,0.936048318363107
14,2,local_q_life_noloop,17,0,12,1.125,0.637513643620554,44,200,0.774415942072925
15,2,local_q_life_noloop,18,0,12,1.25,0.605365459487995,43,204,1.03060376761393
16,2,local_q_life_noloop,17,0,11,1.125,0.679767582140029,43,185,1.15082364141909
17,2,local_q_life_noloop,18,0,14,1.41666666666667,0.712705251386267,71,259,0.750253922969201
18,2,local_q_life_noloop,17,0,16,1.91666666666667,0.678099107918469,72,255,0.59081049612932
19,2,local_q_life_noloop,16,1,18,2.20833333333333,0.621392983379236,75,261,0.750340859440507
20,2,local_q_life_noloop,17,0,17,2.04166666666667,0.598472118279944,42,182,1.02801117703067
21,2,local_q_life_noloop,16,0,17,1.875,0.720461079777871,70,238,1.02511319197594
22,2,local_q_life_noloop,18,0,17,2.25,0.674385523959935,79,283,0.725031534362794
23,2,local_q_life_noloop,18,0,17,2.16666666666667,0.743876903139522,89,309,0.797663530688331
24,2,local_q_life_noloop,18,0,16,2.20833333333333,0.706538363023062,78,288,0.73859005491739
25,2,local_q_life_noloop,17,0,17,2,0.69833987894835,70,260,0.891567724089569
26,2,local_q_life_noloop,18,0,19,2.20833333333333,0.660989888007174,66,264,0.790250612434101
27,2,local_q_life_noloop,16,0,20,2.04166666666667,0.669939825975448,57,220,1.03230562025603
28,2,local_q_life_noloop,17,0,20,2.29166666666667,0.613210383285665,73,264,0.699993401607538
29,2,local_q_life_noloop,16,0,20,2.04166666666667,0.663761672815086,48,204,0.938744256350417
30,2,local_q_life_noloop,16,0,19,1.875,0.637343797658993,48,208,1.01641565798872
31,2,local_q_life_noloop,18,0,20,2.45833333333333,0.651254519253109,89,332,0.356523221621366
32,2,local_q_life_noloop,15,0,19,2.33333333333333,0.635558491936365,56,224,0.759195370248625
33,2,local_q_life_noloop,18,0,20,2.5,0.616467896196502,70,272,0.849764723371505
34,2,local_q_life_noloop,17,0,20,2.45833333333333,0.599159189665809,51,216,0.919590412432335
35,2,local_q_life_noloop,18,0,19,2.5,0.618577780333344,63,248,0.501403310429529
1,3,local_q_life_export,18,0,5,0.333333333333333,0.684574684574685,55,232,0.768584113007447
2,3,local_q_life_export,17,0,4,0.416666666666667,0.733638586565662,55,236,0.819010173507829
3,3,local_q_life_export,18,0,3,0.333333333333333,0.685881473377426,44,204,0.951873316009699
4,3,local_q_life_export,18,0,5,0.5,0.623145981765375,43,196,1.0634841210535
5,3,local_q_life_export,16,0,7,0.583333333333333,0.560011052555353,29,156,1.21083112180522
6,3,local_q_life_export,16,0,9,0.75,0.495848091190908,34,172,0.959592367031025
7,3,local_q_life_export,15,0,8,0.708333333333333,0.553903195374357,40,180,1.03963222660955
8,3,local_q_life_export,17,0,9,0.916666666666667,0.488123084891764,34,180,1.03754016495212
9,3,local_q_life_export,18,0,9,0.958333333333333,0.522870430231142,43,196,1.07126307875347
10,3,local_q_life_export,17,0,9,0.833333333333333,0.537024225787503,33,164,1.06116489845525
11,3,local_q_life_export,16,0,8,0.708333333333333,0.572032848938993,35,164,1.41786284241443
12,3,local_q_life_export,18,0,9,0.791666666666667,0.585619367940134,51,208,1.12418175624952
13,3,local_q_life_export,18,0,10,0.916666666666667,0.596575360741585,38,188,0.936048318363107
14,3,local_q_life_export,17,0,12,1.125,0.637513643620554,44,200,0.774415942072925
15,3,local_q_life_export,18,0,12,1.25,0.605365459487995,43,204,1.03060376761393
16,3,local_q_life_export,17,0,11,1.125,0.679767582140029,43,185,1.15082364141909
17,3,local_q_life_export,18,0,14,1.41666666666667,0.712705251386267,71,259,0.750253922969201
18,3,local_q_life_export,17,0,16,1.91666666666667,0.678099107918469,72,255,0.59081049612932
19,3,local_q_life_export,16,1,18,2.20833333333333,0.621392983379236,75,261,0.750340859440507
20,3,local_q_life_export,17,0,17,2.04166666666667,0.598472118279944,42,182,1.02801117703067
21,3,local_q_life_export,16,0,17,1.875,0.720461079777871,70,238,1.02511319197594
22,3,local_q_life_export,18,0,17,2.25,0.674385523959935,79,283,0.725031534362794
23,3,local_q_life_export,18,0,17,2.16666666666667,0.743876903139522,89,309,0.797663530688331
24,3,local_q_life_export,18,0,16,2.20833333333333,0.706538363023062,78,288,0.73859005491739
25,3,local_q_life_export,17,0,17,2,0.69833987894835,70,260,0.891567724089569
26,3,local_q_life_export,18,0,19,2.20833333333333,0.660989888007174,66,264,0.790250612434101
27,3,local_q_life_export,16,0,20,2.04166666666667,0.669939825975448,57,220,1.03230562025603
28,3,local_q_life_export,17,0,20,2.29166666666667,0.613210383285665,73,264,0.699993401607538
29,3,local_q_life_export,16,0,20,2.04166666666667,0.663761672815086,48,204,0.938744256350417
30,3,local_q_life_export,16,0,19,1.875,0.637343797658993,48,208,1.01641565798872
31,3,local_q_life_export,18,0,20,2.45833333333333,0.651254519253109,89,332,0.356523221621366
32,3,local_q_life_export,15,0,19,2.33333333333333,0.635558491936365,56,224,0.759195370248625
33,3,local_q_life_export,18,0,20,2.5,0.616467896196502,70,272,0.849764723371505
34,3,local_q_life_export,17,0,20,2.45833333333333,0.599159189665809,51,216,0.919590412432335
35,3,local_q_life_export,18,0,19,2.5,0.618577780333344,63,248,0.501403310429529
